Id,mssubclass,mszoning,lotfrontage,lotarea,street,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremod/add,roofstyle,exterior1st,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtunfsf,totalbsmtsf,heatingqc,centralair,electrical,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,garagetype,garagefinish,garagecars,garagearea,garagequal,garagecond,paveddrive,wooddecksf,openporchsf,enclosedporch,screenporch,mosold,yrsold,saleprice
1044,160,RM,21.0,1680,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,5,96.0,483.0,3,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3,4,Typ,0,Detchd,Unf,1.0,264.0,3,3,Y,0,0,0,0,7,2008,85400
2752,20,RL,64.0,7488,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,None,0.0,4,3,PConc,4,3,3,6,815.0,1208.0,5,1,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,Typ,0,Attchd,RFn,2.0,632.0,3,3,Y,105,58,0,0,2,2006,183600
807,70,RL,120.0,26400,Pave,Reg,Bnk,FR2,Gtl,SawyerW,Feedr,1Fam,2Story,5,7,1880,2007,Gable,HdBoard,None,0.0,4,3,PConc,0,0,0,0,0.0,0.0,5,1,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,Mod,1,Attchd,Unf,2.0,576.0,3,3,P,0,0,0,0,6,2009,131000
1177,160,FV,24.0,2645,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,6,147.0,960.0,5,1,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,Typ,0,Detchd,Unf,2.0,480.0,3,3,Y,169,0,0,0,12,2008,200000
1480,20,RL,74.0,9627,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,None,0.0,4,3,PConc,4,3,3,6,1327.0,1351.0,5,1,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,Typ,0,Attchd,RFn,2.0,610.0,3,3,Y,0,50,0,0,6,2008,193000
324,20,RL,93.0,10114,Pave,Reg,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1Story,5,5,2004,2005,Gable,VinylSd,None,0.0,3,3,PConc,5,3,3,1,1430.0,1430.0,5,1,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,Typ,0,Attchd,RFn,2.0,624.0,3,3,Y,0,0,0,0,3,2010,173500
1311,70,RM,34.0,4571,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,None,0.0,3,3,BrkTil,3,3,1,1,624.0,624.0,2,0,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,Typ,0,Detchd,Unf,3.0,513.0,2,2,Y,0,0,96,0,5,2008,98000
770,20,RL,80.0,8816,Pave,Reg,Lvl,Corner,Gtl,Sawyer,Feedr,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,None,0.0,3,3,PConc,3,3,1,3,470.0,1121.0,3,1,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,Typ,0,Detchd,Unf,2.0,480.0,3,3,Y,0,80,0,0,6,2009,139000
2063,20,RL,71.0,8197,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,6,5,1977,1977,Gable,Plywood,BrkFace,148.0,3,3,CBlock,3,3,1,1,660.0,660.0,5,1,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,Typ,1,Attchd,RFn,2.0,528.0,3,3,Y,138,0,0,0,4,2007,143500
69,60,FV,72.0,8640,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,None,0.0,3,3,PConc,4,3,2,6,732.0,756.0,5,1,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,Typ,0,Attchd,Unf,2.0,614.0,3,3,Y,169,45,0,0,6,2010,215200
2062,20,RL,109.0,8724,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1968,1968,Gable,VinylSd,None,0.0,3,3,CBlock,4,3,1,4,402.0,894.0,4,1,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,3,5,Typ,1,Attchd,Fin,2.0,450.0,3,3,Y,0,0,0,0,5,2007,129000
351,120,RL,40.0,5664,Pave,IR1,Lvl,Inside,Gtl,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CemntBd,None,0.0,4,3,PConc,4,3,1,6,343.0,1501.0,5,1,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,Typ,1,Attchd,Fin,2.0,499.0,3,3,Y,212,59,0,0,10,2009,278000
12,20,RL,68.99824046920821,7980,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,None,0.0,3,4,PConc,4,3,1,5,233.0,1168.0,5,1,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,Typ,0,Attchd,Fin,2.0,420.0,3,3,Y,483,21,0,0,3,2010,185000
2339,190,RL,100.0,34650,Pave,Reg,Bnk,Inside,Gtl,Gilbert,Norm,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,3,0.0,1056.0,3,0,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,Typ,0,Attchd,Fin,2.0,572.0,3,3,Y,264,0,0,0,1,2006,145000
624,20,RL,92.0,10573,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,6,1961,1961,Hip,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,1,3,141.0,1453.0,5,1,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,Typ,1,Attchd,RFn,2.0,530.0,3,3,Y,0,49,0,288,4,2009,187500
86,20,RL,65.0,8450,Pave,Reg,Lvl,Inside,Gtl,Sawyer,RRAe,1Fam,1Story,5,8,1965,2009,Gable,MetalSd,None,0.0,3,4,CBlock,3,3,1,6,224.0,894.0,5,1,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,3,5,Typ,1,Detchd,Unf,1.0,336.0,3,3,Y,416,144,0,0,4,2010,138500
1534,50,RL,68.99824046920821,11700,Pave,IR1,HLS,Inside,Mod,Crawfor,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,WdShing,None,0.0,3,3,CBlock,3,3,1,4,336.0,942.0,5,1,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,Min2,1,Detchd,Unf,1.0,240.0,3,3,Y,0,40,0,0,7,2008,198000
2243,190,C (all),75.0,8250,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,2fmCon,2Story,5,6,1895,2006,Gable,VinylSd,None,0.0,3,4,CBlock,3,3,1,1,957.0,957.0,2,0,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,Typ,0,NA,NA,0.0,0.0,0,0,N,0,0,133,0,6,2007,119600
1957,50,RL,60.0,8064,Pave,Reg,Lvl,Corner,Gtl,NAmes,Artery,1Fam,1.5Fin,5,7,1949,2006,Gable,MetalSd,None,0.0,3,4,CBlock,3,3,2,1,672.0,672.0,5,1,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,3,6,Typ,1,Detchd,Unf,2.0,576.0,3,3,Y,0,0,0,0,7,2007,122900
380,20,RL,80.0,9600,Pave,Reg,Lvl,Inside,Gtl,NWAmes,PosN,1Fam,1Story,8,5,1981,1981,Hip,BrkFace,None,0.0,4,3,PConc,4,3,1,5,1420.0,2524.0,3,1,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,Typ,1,Attchd,Fin,2.0,542.0,3,3,Y,474,120,0,0,7,2009,278000
2860,70,RL,68.99824046920821,11435,Pave,IR1,HLS,Corner,Mod,Crawfor,Norm,1Fam,2Story,8,7,1929,1950,Gable,BrkFace,None,0.0,3,3,PConc,4,3,1,1,792.0,792.0,2,1,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,Typ,2,Detchd,Unf,2.0,400.0,3,3,Y,0,0,0,0,6,2006,230000
2517,120,RL,30.0,9549,Pave,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,BrkFace,None,0.0,4,4,PConc,4,4,3,2,0.0,1494.0,5,1,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,Typ,1,Attchd,Fin,2.0,481.0,3,3,Y,0,30,0,216,4,2006,270000
1933,20,RL,60.0,10950,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,6,1952,1952,Hip,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,507.0,948.0,3,1,SBrkr,948,0,0,948,0.0,0.0,1,0,2,1,3,5,Typ,0,Detchd,Unf,2.0,410.0,3,3,N,0,48,0,0,4,2007,125000
820,20,RL,79.0,10637,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2007,2008,Hip,VinylSd,Stone,336.0,4,3,PConc,5,3,4,6,417.0,1705.0,5,1,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,Typ,1,Attchd,RFn,3.0,826.0,3,3,Y,208,44,0,0,9,2009,297000
675,20,RL,80.0,9000,Pave,IR1,HLS,Inside,Mod,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Flat,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,4,1,160.0,160.0,2,1,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,Typ,1,Basment,RFn,1.0,384.0,3,3,Y,0,28,64,0,4,2009,113500
2910,160,RM,41.0,2665,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CemntBd,None,0.0,3,3,PConc,3,3,1,5,36.0,757.0,5,1,SBrkr,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,Typ,1,Attchd,RFn,1.0,336.0,3,3,Y,104,26,0,0,7,2006,127000
21,20,RL,105.0,11751,Pave,IR1,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,6,6,1977,1977,Hip,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,1139.0,1844.0,5,1,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,Typ,1,Attchd,RFn,2.0,546.0,3,3,Y,0,122,0,0,1,2010,190000
1873,20,RL,80.0,9600,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,7,6,1973,1973,Hip,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,1,5,326.0,1242.0,2,1,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,Typ,1,Attchd,Unf,2.0,528.0,3,3,Y,0,0,0,0,9,2007,175500
2125,20,RL,60.0,8428,Pave,IR2,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,7,1994,1994,Gable,VinylSd,None,0.0,3,4,PConc,4,4,1,6,570.0,990.0,5,1,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,3,5,Typ,0,Detchd,Unf,1.0,384.0,3,3,Y,256,0,0,0,7,2007,146000
1489,20,RL,75.0,9937,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,5,6,1965,1965,Gable,HdBoard,None,0.0,4,3,CBlock,3,3,1,4,136.0,1256.0,4,1,SBrkr,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,Typ,0,Attchd,Fin,1.0,276.0,3,3,Y,736,68,0,0,6,2008,147500
983,85,RL,68.99824046920821,9101,Pave,IR1,Lvl,Corner,Gtl,Mitchel,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,Plywood,BrkFace,104.0,3,4,PConc,4,3,3,6,0.0,1097.0,5,1,SBrkr,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,Typ,1,Attchd,Fin,2.0,602.0,3,3,Y,303,30,0,0,7,2009,165500
1325,50,RM,81.0,12150,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,1,1,1050.0,1050.0,5,0,FuseF,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,Typ,0,Attchd,Unf,1.0,352.0,2,3,Y,0,0,0,0,11,2008,131500
1378,20,RL,70.0,11200,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,134.0,1040.0,5,1,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,Typ,0,Detchd,Unf,1.0,384.0,3,3,Y,0,0,0,0,2,2008,129500
1537,70,RL,100.0,9670,Pave,IR1,HLS,Inside,Mod,Crawfor,Norm,1Fam,2Story,8,6,1935,1950,Gable,BrkFace,Stone,40.0,3,3,PConc,3,2,1,2,398.0,608.0,3,1,SBrkr,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,Typ,2,Detchd,Fin,2.0,786.0,2,3,Y,0,0,207,0,6,2008,257076
905,50,RL,60.0,10998,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,156.0,984.0,5,1,SBrkr,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,Min2,0,Detchd,Unf,2.0,660.0,3,3,Y,0,68,0,0,7,2009,117000
1532,70,RL,60.0,7200,Pave,Reg,HLS,Inside,Mod,Crawfor,Norm,1Fam,2Story,7,6,1931,2000,Gable,Stucco,None,0.0,3,2,BrkTil,4,3,1,1,776.0,776.0,3,1,SBrkr,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,Typ,1,Attchd,RFn,1.0,270.0,3,3,P,0,0,112,0,2,2008,149000
132,20,RL,80.0,9920,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1954,1954,Gable,HdBoard,Stone,110.0,3,3,CBlock,3,3,1,3,412.0,1056.0,3,1,SBrkr,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,Typ,0,Attchd,RFn,1.0,280.0,3,3,Y,0,0,164,0,2,2010,128000
1078,160,RL,36.0,2448,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,Gable,VinylSd,Stone,106.0,4,3,PConc,4,3,1,1,764.0,764.0,5,1,SBrkr,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,Typ,0,BuiltIn,RFn,2.0,474.0,3,3,Y,0,27,0,0,10,2008,155000
2511,160,FV,68.99824046920821,2998,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,MetalSd,BrkFace,513.0,4,3,PConc,4,3,1,6,403.0,756.0,5,1,SBrkr,768,756,0,1524,0.0,0.0,2,1,2,1,4,4,Typ,0,Detchd,Unf,2.0,440.0,3,3,Y,0,32,0,0,6,2006,166000
912,50,RL,65.0,7804,Pave,Reg,Lvl,Inside,Gtl,SWISU,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,WdShing,None,0.0,3,3,BrkTil,3,3,1,4,500.0,1122.0,3,1,SBrkr,1328,653,0,1981,1.0,0.0,2,0,4,1,4,7,Min2,2,Detchd,Unf,2.0,576.0,3,3,Y,431,44,0,0,12,2009,135000
2351,60,RL,80.0,16692,Pave,IR1,Lvl,Inside,Gtl,NWAmes,RRAn,1Fam,2Story,7,5,1978,1978,Gable,Plywood,BrkFace,184.0,3,3,CBlock,4,3,1,4,133.0,1392.0,3,1,SBrkr,1392,1392,0,2784,1.0,0.0,3,1,5,1,4,12,Typ,2,Attchd,RFn,2.0,564.0,3,3,Y,0,112,0,440,7,2006,250000
330,160,RM,21.0,1476,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CemntBd,None,0.0,3,3,CBlock,3,3,1,6,370.0,546.0,5,1,SBrkr,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,Typ,0,NA,NA,0.0,0.0,0,0,Y,200,26,0,0,3,2010,76000
2586,20,RL,75.0,10170,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,6,1951,1951,Hip,Wd Sdng,BrkFace,522.0,3,3,CBlock,3,3,1,1,216.0,216.0,3,1,SBrkr,1575,0,0,1575,0.0,0.0,1,1,2,1,4,5,Typ,1,Attchd,Unf,2.0,400.0,3,3,Y,0,0,0,0,6,2006,155000
224,60,RL,80.0,9364,Pave,Reg,Lvl,Corner,Gtl,Sawyer,Norm,1Fam,2Story,6,7,1969,1969,Gable,HdBoard,Stone,143.0,3,3,CBlock,3,3,1,5,292.0,663.0,3,1,SBrkr,663,689,0,1352,0.0,0.0,1,1,4,1,3,7,Typ,0,Attchd,Fin,1.0,299.0,3,3,Y,379,36,0,0,3,2010,158000
98,160,FV,24.0,2544,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,7,5,2004,2005,Gable,MetalSd,None,0.0,4,3,PConc,4,3,1,6,190.0,600.0,5,1,SBrkr,600,600,0,1200,1.0,0.0,2,1,2,1,4,4,Typ,0,Detchd,RFn,2.0,480.0,3,3,Y,0,172,0,0,2,2010,149500
2565,20,RL,82.0,9888,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1954,1975,Gable,MetalSd,None,0.0,3,4,CBlock,3,3,1,4,450.0,936.0,3,1,FuseA,936,0,0,936,0.0,0.0,1,0,2,1,3,5,Typ,0,Attchd,Unf,1.0,240.0,3,3,Y,0,0,160,0,3,2006,121000
1934,20,RL,68.0,7942,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,7,1953,1953,Hip,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,0.0,1040.0,3,1,FuseF,1040,0,0,1040,0.0,1.0,1,0,3,1,3,6,Typ,0,Attchd,Fin,1.0,293.0,3,3,Y,0,0,0,0,6,2007,136000
997,60,RL,68.99824046920821,15038,Pave,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1996,1996,Gable,HdBoard,None,0.0,3,3,PConc,4,3,1,3,778.0,916.0,4,1,SBrkr,916,720,0,1636,0.0,0.0,2,1,3,1,3,7,Typ,1,Attchd,Fin,2.0,386.0,3,3,Y,168,84,0,0,11,2008,173000
64,60,RL,92.0,11764,Pave,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,BrkFace,348.0,4,3,PConc,4,3,1,6,628.0,1152.0,5,1,SBrkr,1164,1106,0,2270,0.0,0.0,2,1,4,1,4,9,Typ,1,Attchd,Fin,3.0,671.0,3,3,Y,132,57,0,0,4,2010,290000
1799,60,FV,75.0,9000,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,8,5,2007,2007,Gable,CemntBd,None,0.0,4,3,PConc,4,3,3,6,1120.0,1184.0,5,1,SBrkr,1184,1426,0,2610,0.0,0.0,2,1,4,1,5,11,Typ,1,BuiltIn,Fin,2.0,550.0,3,3,Y,208,364,0,0,8,2007,303477
230,20,RL,68.99824046920821,20062,Pave,IR1,Low,Inside,Mod,ClearCr,Norm,1Fam,1Story,7,7,1977,2001,Hip,Wd Sdng,None,0.0,4,4,CBlock,4,3,4,5,328.0,1420.0,4,1,SBrkr,1483,0,0,1483,1.0,0.0,1,1,1,1,3,4,Typ,2,Attchd,RFn,2.0,690.0,3,3,Y,496,0,0,0,4,2010,270000
1295,50,RM,81.0,7308,Pave,Reg,Lvl,Corner,Gtl,OldTown,Artery,1Fam,1.5Fin,5,5,1920,1950,Gable,WdShing,None,0.0,2,2,BrkTil,3,3,1,3,576.0,936.0,4,0,FuseA,960,780,0,1740,0.0,0.0,1,0,2,1,5,6,Typ,1,Detchd,Unf,1.0,225.0,2,2,N,0,0,236,0,6,2008,122250
638,20,RL,70.0,8750,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1955,1955,Gable,AsbShng,None,0.0,3,3,CBlock,3,3,1,3,727.0,1382.0,4,1,FuseA,1382,0,0,1382,0.0,1.0,1,0,3,1,4,6,Typ,0,Attchd,Unf,1.0,350.0,3,3,Y,280,0,0,0,7,2009,153000
2278,20,RL,70.0,8402,Pave,Reg,Lvl,Inside,Gtl,Mitchel,Feedr,1Fam,1Story,5,5,2007,2007,Gable,VinylSd,None,0.0,3,3,PConc,4,3,1,5,914.0,1120.0,5,1,SBrkr,1120,0,0,1120,0.0,0.0,1,0,3,1,3,6,Typ,0,NA,NA,0.0,0.0,0,0,Y,0,30,0,0,12,2007,147000
2202,70,RL,63.0,4000,Pave,Reg,Lvl,Inside,Gtl,Crawfor,Norm,1Fam,2Story,7,8,1930,1995,Gable,Wd Sdng,None,0.0,3,3,BrkTil,4,3,1,6,285.0,531.0,3,1,SBrkr,567,531,0,1098,1.0,0.0,1,0,2,1,3,5,Typ,1,Detchd,Unf,1.0,216.0,3,3,Y,0,0,0,0,6,2007,148500
2833,160,RM,32.0,3363,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,VinylSd,Stone,117.0,4,3,PConc,4,3,1,1,976.0,976.0,5,1,SBrkr,976,732,0,1708,0.0,0.0,2,0,3,1,4,7,Maj1,0,Detchd,Unf,2.0,380.0,3,3,Y,0,40,0,0,4,2006,130000
1707,20,RL,94.0,13615,Pave,IR1,HLS,Corner,Mod,NridgHt,Norm,1Fam,1Story,9,5,2006,2006,Hip,MetalSd,Stone,510.0,5,3,PConc,5,3,4,1,1802.0,1802.0,5,1,SBrkr,1802,0,0,1802,0.0,0.0,2,1,3,1,5,7,Typ,1,Attchd,Fin,3.0,843.0,3,3,Y,158,105,0,0,6,2007,372000
2428,120,RL,43.0,3013,Pave,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,TwnhsE,1Story,7,5,2005,2005,Gable,VinylSd,BrkFace,145.0,4,3,PConc,4,3,4,6,1346.0,1362.0,5,1,SBrkr,1506,0,0,1506,0.0,0.0,2,0,2,1,4,6,Typ,1,Attchd,Fin,2.0,440.0,3,3,Y,142,20,0,0,4,2006,213490
